Filtered Traffic Details:
========================================
Time: 2024-12-13 03:47:45.945979, Protocol: TCP, Length: 54, Source: 150.171.73.254, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.893249, Protocol: TCP, Length: 66, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.893645, Protocol: TCP, Length: 66, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.894177, Protocol: TCP, Length: 1454, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894177, Protocol: TCP, Length: 1454, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894177, Protocol: TCP, Length: 1454, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894177, Protocol: TCP, Length: 849, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894260, Protocol: TCP, Length: 93, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894289, Protocol: TCP, Length: 1454, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.894289, Protocol: TCP, Length: 124, Source: 192.168.50.190, Destination: 104.18.32.47
Time: 2024-12-13 03:47:47.901116, Protocol: TCP, Length: 66, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.901116, Protocol: TCP, Length: 66, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.901307, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.901401, Protocol: TCP, Length: 54, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.901406, Protocol: TCP, Length: 56, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.901475, Protocol: TCP, Length: 83, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.901567, Protocol: TCP, Length: 56, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.901610, Protocol: TCP, Length: 83, Source: 192.168.50.190, Destination: 192.168.50.1
Time: 2024-12-13 03:47:47.907324, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.907324, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.907324, Protocol: TCP, Length: 54, Source: 192.168.50.1, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.919224, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
Time: 2024-12-13 03:47:47.919548, Protocol: TCP, Length: 54, Source: 104.18.32.47, Destination: 192.168.50.190
